,zipcode,population,sqkm,lat,lon,population_density,physicians_count,physicians_density,physicians_per_1000_people
63,81677,13175,3.22414,48.13959,11.62034,4086.361014099885,6,1.8609613726451086,0.45540796963946867
64,81679,9142,1.569627,48.1484,11.61248,5824.313674522673,17,10.830598607185019,1.8595493327499453
65,81735,23739,3.689091,48.10931,11.63999,6434.918520578647,35,9.487431998831148,1.4743670752769702
66,81737,28379,5.325262,48.09958,11.63755,5329.127468282311,43,8.074720079500313,1.5152049050354137
67,81739,23019,6.902256,48.0893,11.65819,3334.9965576472387,28,4.056644668062153,1.2163864633563577
68,81825,26239,4.969818,48.11807,11.66179,5279.670201202539,42,8.451013699093206,1.600670757269713
69,81827,22488,6.742075,48.10733,11.69119,3335.471646340333,19,2.818123500554355,0.8448950551405193
70,81829,20707,10.291376,48.13379,11.68308,2012.073021139253,18,1.7490372521614215,0.8692712609262568
71,81925,16377,4.332202,48.16326,11.62015,3780.294640000628,27,6.2323963656357675,1.648653599560359
72,81927,22877,3.554265,48.16048,11.63825,6436.492495635525,24,6.752450928673016,1.0490886042750363
73,81929,14780,12.777325,48.16065,11.66304,1156.7366408853184,12,0.9391637138446428,0.8119079837618403
