,zipcode,population,sqkm,lat,lon,population_density,physicians_count,physicians_density,physicians_per_1000_people
0,80331,4741,0.78277,48.13575,11.57351,6056.696092083244,174,222.28751740613464,36.701117907614424
1,80333,11265,1.615148,48.14495,11.56824,6974.593040390107,102,63.152107422973,9.054593874833555
2,80335,9042,1.697719,48.14657,11.55112,5325.969727616879,71,41.82081958203919,7.852245078522452
3,80336,8103,1.568529,48.13101,11.55228,5165.986730242156,108,68.85432146935122,13.328396890040727
4,80337,15280,1.046991,48.12675,11.55904,14594.20377061503,51,48.711020438571104,3.337696335078534
5,80339,26482,1.998925,48.13468,11.53796,13248.120864964918,19,9.505108996085395,0.7174684691488558
6,80469,23960,1.223598,48.12662,11.57054,19581.59460868684,49,40.045832046145875,2.045075125208681
7,80538,11009,2.142386,48.14309,11.59025,5138.663154072142,29,13.536309516585712,2.634208374965937
8,80539,3210,0.833153,48.14436,11.58107,3852.8337532241976,15,18.003896043103726,4.672897196261682
9,80634,18599,1.273151,48.1503,11.52845,14608.636367563628,91,71.47620352966773,4.892736168611215
10,80636,22680,1.669394,48.15035,11.54217,13585.7682488376,32,19.16863244985905,1.4109347442680777
11,80637,20448,2.193278,48.15944,11.53661,9323.031553683571,46,20.973173487355457,2.2496087636932707
12,80638,9589,3.992636,48.16304,11.50887,2401.671477189506,13,3.255994285479568,1.3557200959432683
13,80639,19417,3.924203,48.15029,11.50211,4948.011099323863,62,15.79938652511096,3.193078230416645
14,80686,19915,2.790459,48.13171,11.51661,7136.818709753486,45,16.126379208581817,2.2596033140848606
15,80687,21577,2.311476,48.14052,11.50825,9334.728113119065,34,14.709216102611492,1.5757519581035362
16,80689,28077,3.652286,48.13266,11.48909,7687.514066532577,20,5.476022414454946,0.7123268155429712
17,80796,15424,0.804977,48.16287,11.56981,19160.795898516357,68,84.47446324553371,4.408713692946058
18,80797,17184,1.823391,48.16165,11.55727,9424.19919808752,25,13.71071810708729,1.4548417132216014
19,80798,12747,0.487418,48.15518,11.56616,26152.0912235494,36,73.85857723760715,2.824193927983055
20,80799,13557,0.672546,48.15207,11.57481,20157.72898805435,51,75.83124425689842,3.761894224385926
21,80801,9242,0.46985,48.15916,11.57902,19670.107481110997,76,161.7537511971906,8.223328283921228
22,80802,9333,1.491727,48.16004,11.593,6256.506720063389,51,34.1885613118218,5.46448087431694
23,80803,9404,0.526172,48.16442,11.58033,17872.48276229066,31,58.91609587739371,3.296469587409613
24,80804,14468,1.666769,48.17252,11.5764,8680.26703160426,25,14.999079056545929,1.7279513408902405
25,80805,17606,5.607253,48.17199,11.60312,3139.8618895919267,15,2.675106687713217,0.8519822787686016
26,80807,25489,3.871744,48.18307,11.58399,6583.338154588733,49,12.655795424490876,1.9223978971320963
27,80809,21134,4.693812,48.17828,11.55387,4502.523748288171,45,9.58709040754082,2.1292703700198734
